2018-12-21 21:19:31.844 [main] INFO  c.l.springbootdemo.SpringBootDemoApplication - Starting SpringBootDemoApplication on LXZ with PID 6548 (C:\file\Development\GIT\MyJavaDemo2\spring-boot\spring-boot-demo\target\classes started by lxz in C:\file\Development\GIT\MyJavaDemo2\spring-boot)
2018-12-21 21:19:31.850 [main] INFO  c.l.springbootdemo.SpringBootDemoApplication - No active profile set, falling back to default profiles: default
2018-12-21 21:19:35.079 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2018-12-21 21:19:35.104 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2018-12-21 21:19:35.123 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2018-12-21 21:19:35.124 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.13
2018-12-21 21:19:35.137 [main] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_171\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files (x86)\MySQL\MySQL Server 5.5\bin;C:\Program Files\MySQL\MySQL Server 5.5\bin;C:\Program Files\Git\cmd;C:\Program Files\MATLAB\R2012a\runtime\win64;C:\Program Files\MATLAB\R2012a\bin;C:\WINDOWS\system32\config\systemprofile\.dnx\bin;C:\Program Files\Microsoft DNX\Dnvm\;C:\Program Files\Microsoft SQL Server\130\Tools\Binn\;C:\Users\lxz\AppData\Local\Microsoft\WindowsApps;C:\Program Files\Java\jdk1.8.0_171\bin;C:\file\software\green\apache-maven-3.5.4-bin\apache-maven-3.5.4\bin;C:\file\software\green\android-sdk-windows\platform-tools;C:\file\software\green\android-sdk-windows\tools;C:\file\software\green\node-v8.12.0-win-x64;%USERPROFILE%\AppData\Local\Microsoft\WindowsApps;;.]
2018-12-21 21:19:35.340 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2018-12-21 21:19:35.341 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3241 ms
2018-12-21 21:19:35.789 [main] INFO  o.s.b.a.endpoint.web.ServletEndpointRegistrar - Registered '/actuator/jolokia' to jolokia-actuator-endpoint
2018-12-21 21:19:36.102 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
